Time,Node,IfIndex,qIndex,PfcType,Time
+1013764767.0ns,s7,0,0,P,0
+1013764789.0ns,s7,0,0,R,0
+1013764886.0ns,s7,0,0,P,0
+1013764908.0ns,s7,0,0,R,0
+1013765005.0ns,s7,0,0,P,0
+1013767263.0ns,s7,0,0,R,0
+1013788793.0ns,s43,0,0,P,0
+1013788849.0ns,s43,0,0,R,0
+1013788878.0ns,s43,0,0,P,0
+1013793014.0ns,s43,0,0,R,0
+1013795681.0ns,s43,0,0,P,0
+1013802584.0ns,s7,0,0,P,0
+1013802606.0ns,s7,0,0,R,0
+1013802703.0ns,s7,0,0,P,0
+1013803206.0ns,s41,0,0,P,0
+1013803367.0ns,s43,0,0,R,0
+1013805353.0ns,s41,0,0,R,0
+1013806034.0ns,s43,0,0,P,0
+1013806414.0ns,s7,0,0,R,0
+1013809035.0ns,s41,0,0,P,0
+1013811628.0ns,s7,0,0,P,0
+1013811650.0ns,s7,0,0,R,0
+1013811747.0ns,s7,0,0,P,0
+1013811888.0ns,s7,0,0,R,0
+1013811985.0ns,s7,0,0,P,0
+1013813720.0ns,s43,0,0,R,0
+1013815458.0ns,s7,0,0,R,0
+1013815880.0ns,s41,0,0,R,0
+1013816387.0ns,s43,0,0,P,0
+1013819388.0ns,s41,0,0,P,0
+1013820672.0ns,s7,0,0,P,0
+1013820694.0ns,s7,0,0,R,0
+1013820791.0ns,s7,0,0,P,0
+1013824073.0ns,s43,0,0,R,0
+1013824502.0ns,s7,0,0,R,0
+1013826740.0ns,s43,0,0,P,0
+1013827074.0ns,s41,0,0,R,0
+1013829741.0ns,s41,0,0,P,0
+1013829954.0ns,s7,0,0,P,0
+1013829976.0ns,s7,0,0,R,0
+1013830073.0ns,s7,0,0,P,0
+1013833784.0ns,s7,0,0,R,0
+1013834426.0ns,s43,0,0,R,0
+1013837093.0ns,s43,0,0,P,0
+1013837116.0ns,s43,0,0,R,0
+1013837122.0ns,s43,0,0,P,0
+1013837427.0ns,s41,0,0,R,0
+1013838998.0ns,s7,0,0,P,0
+1013839020.0ns,s7,0,0,R,0
+1013839117.0ns,s7,0,0,P,0
+1013839258.0ns,s7,0,0,R,0
+1013839355.0ns,s7,0,0,P,0
+1013840123.0ns,s41,0,0,P,0
+1013842828.0ns,s7,0,0,R,0
+1013844732.0ns,s43,0,0,R,0
+1013847399.0ns,s43,0,0,P,0
+1013847733.0ns,s41,0,0,R,0
+1013848042.0ns,s7,0,0,P,0
+1013848064.0ns,s7,0,0,R,0
+1013848161.0ns,s7,0,0,P,0
+1013850400.0ns,s41,0,0,P,0
+1013851872.0ns,s7,0,0,R,0
+1013854966.0ns,s43,0,0,R,0
+1013857324.0ns,s7,0,0,P,0
+1013857346.0ns,s7,0,0,R,0
+1013857443.0ns,s7,0,0,P,0
+1013857633.0ns,s43,0,0,P,0
+1013857967.0ns,s41,0,0,R,0
+1013860634.0ns,s41,0,0,P,0
+1013861154.0ns,s7,0,0,R,0
+1013865200.0ns,s43,0,0,R,0
+1013866368.0ns,s7,0,0,P,0
+1013866390.0ns,s7,0,0,R,0
+1013866487.0ns,s7,0,0,P,0
+1013866628.0ns,s7,0,0,R,0
+1013866725.0ns,s7,0,0,P,0
+1013867867.0ns,s43,0,0,P,0
+1013868201.0ns,s41,0,0,R,0
+1013870198.0ns,s7,0,0,R,0
+1013870868.0ns,s41,0,0,P,0
+1013875055.0ns,s7,0,0,P,0
+1013875434.0ns,s43,0,0,R,0
+1013878101.0ns,s43,0,0,P,0
+1013878435.0ns,s41,0,0,R,0
+1013880551.0ns,s7,0,0,R,0
+1013881102.0ns,s41,0,0,P,0
+1013885668.0ns,s43,0,0,R,0
+1013886241.0ns,s7,0,0,P,0
+1013886263.0ns,s7,0,0,R,0
+1013886360.0ns,s7,0,0,P,0
+1013886501.0ns,s7,0,0,R,0
+1013886598.0ns,s7,0,0,P,0
+1013888335.0ns,s43,0,0,P,0
+1013888669.0ns,s41,0,0,R,0
+1013890071.0ns,s7,0,0,R,0
+1013891336.0ns,s41,0,0,P,0
+1013895069.0ns,s43,0,0,R,0
+1013895285.0ns,s7,0,0,P,0
+1013895307.0ns,s7,0,0,R,0
+1013895404.0ns,s7,0,0,P,0
+1013898026.0ns,s43,0,0,P,0
+1013898044.0ns,s43,0,0,R,0
+1013898055.0ns,s43,0,0,P,0
+1013898070.0ns,s41,0,0,R,0
+1013898079.0ns,s43,0,0,R,0
+1013898084.0ns,s43,0,0,P,0
+1013901085.0ns,s41,0,0,P,0
+1013901733.0ns,s7,0,0,R,0
+1013902244.0ns,s43,0,0,R,0
+1013905245.0ns,s41,0,0,R,0
+1013905694.0ns,s43,0,0,P,0
+1013908375.0ns,s7,0,0,P,0
+1013908397.0ns,s7,0,0,R,0
+1013908494.0ns,s7,0,0,P,0
+1013908695.0ns,s41,0,0,P,0
+1013909825.0ns,s43,0,0,R,0
+1013912205.0ns,s7,0,0,R,0
+1013912826.0ns,s41,0,0,R,0
+1013913478.0ns,s43,0,0,P,0
+1013913520.0ns,s43,0,0,R,0
+1013913536.0ns,s43,0,0,P,0
+1013916508.0ns,s41,0,0,P,0
