Time,Node,IfIndex,qIndex,PfcType,Time
+1002382050.0ns,s7,0,0,R,0
+1002385599.0ns,s7,0,0,P,0
+1002385620.0ns,s7,0,0,R,0
+1002385717.0ns,s7,0,0,P,0
+1002390499.0ns,s7,0,0,R,0
+1002394166.0ns,s7,0,0,P,0
+1002394188.0ns,s7,0,0,R,0
+1002394285.0ns,s7,0,0,P,0
+1002399310.0ns,s7,0,0,R,0
+1002403453.0ns,s7,0,0,P,0
+1002403475.0ns,s7,0,0,R,0
+1002403572.0ns,s7,0,0,P,0
+1002403713.0ns,s7,0,0,R,0
+1002403810.0ns,s7,0,0,P,0
+1002407997.0ns,s7,0,0,R,0
+1002413449.0ns,s7,0,0,P,0
+1002413471.0ns,s7,0,0,R,0
+1002413568.0ns,s7,0,0,P,0
+1002413709.0ns,s7,0,0,R,0
+1002413806.0ns,s7,0,0,P,0
+1002417430.0ns,s7,0,0,R,0
+1002422831.0ns,s7,0,0,P,0
+1002427549.0ns,s7,0,0,R,0
+1002432525.0ns,s7,0,0,P,0
+1002437877.0ns,s7,0,0,R,0
+1002442258.0ns,s7,0,0,P,0
+1002442280.0ns,s7,0,0,R,0
+1002442377.0ns,s7,0,0,P,0
+1002442399.0ns,s7,0,0,R,0
+1002443025.0ns,s7,0,0,P,0
+1002443232.0ns,s9,0,0,R,0
